NUMBER_1,DIALOG_1_1,DIALOG_1_2,DIALOG_1_3,DIALOG_1_4,NUMBER_2,DIALOG_2_1,DIALOG_2_2,DIALOG_2_3,DIALOG_2_4,NUMBER_3,DIALOG_3_1,DIALOG_3_2,DIALOG_3_3,DIALOG_3_4
TPCCHT-000005-17,i know now everytime i open gmail i think of garfield,speaking of cats i would love to get a glow in the dark one they have those in south korea,wow in japana and taiwan there are cat cafes where you can play with them,that seems fun that reminds me of the anderson house bed and breakfast in minnesota they used to offer a free cat for the night when you booked a room,TPCCHT-000001-2,[empty line],do you like dance,yes i do did you know bruce lee was a cha cha dancer,yes he even won a hardcore cha cha championship in 1958,TPCCHT-000004-1,[empty line],[empty line],do you like dance,i love it did you know bruce lee was a dancer
TPCCHT-000002-11,yeah exactly i am sure they are cheaper one thing i bet they couldnt exploit is fish i think fish are so cool there is actually a breed of jellyfish that is immortal,i had rememered hearing about that before immortatlity is wasted on a jellyfish haha did you know a seahorse is the only fish that has an actual neck,that is so funny i guess i never considered a seahorse a fish the black swallower fish sounds a lot like a snake because it can eat pray that is so large,i guess they live up to their name then,TPCCHT-000008-3,are you a star wars fan i need to rewatch the ot and the prequels so i can watch the subsequent stuff for the first time and understand whats going on,hi yes i am a huge fan of star wars i also loved how it was the first major movie to be dubbed in navajo i think that is so cool,yeah thats wild i guess it takes a pretty small audience to pay for the translation work,agreed isnt it also funny james earl jones only spent two and half hours recording his lines for darth vader i also cant believe he was only paid 7500 geez thats pocket change,TPCCHT-000007-17,was inspect gadget a comics on paper or a cartoon on tv i was talking about what marvel is publishing,on paper and yes i do recall seeing superhero and hulk books,i think that hulk is in the marvel universe but like i said i never read anything from marvel nor dc comics,right me neither there were so many good choices of comics when i was growing up
TPCCHT-000003-19,me neither i could never be a professional dancer,i heard that some professional ballet dancer can go through four pairs of shoes in a week,that is crazy that cant be cheap for them,no i think its very expensive for them to be professional ballet dancers based on this,TPCCHT-000007-13,maybe they did mean to say that our universe is contained in an electron in another universe,i dont know but i am at the end of knowledge on this subject what do you think about the facts of comics i would have thought us invented them but its japan or uk,japan has a great printing history i am not surprised about this do you read comics books i have read a few but not about superheroes,i used to in my childhood but not any more i used to love inspector gadget,TPCCHT-000004-9,yeah babies are also really good at dancing when they hear music,yes and they smile more when they hit the beat,yeah pretty cute did you know tupac was a ballet dancer,yes he was in the nutcracker as the mouse king
TPCCHT-000001-20,yes otherwise the rhymes and puns do not seem to work out,yes he lived at the same time as pocahontas too,i wonder if they met how that would go from there,yeah interesting point nice chat,TPCCHT-000000-12,yesgoogle is the biggest search engine and google service figure out top 100 website including youtube and blogger,by the way do you like fish,yes they form a sister group of tourniquets they make the sea water clean and remove the dust from it fish is the biggest part in the ecosystem,did you know that a seahorse is the only fish to have a neck,TPCCHT-000009-32,yes fascinating fact tuna also hold a higher core temperature they are in the same class as shark because they are also active swimmers,tuna can get quite large too its cool how big some fish get,one more before we godid you know domesticated animals develop a white patch on their forehead,yeah that is a pretty cool way to know they are domesticated rather than wild
TPCCHT-000009-12,yeah and the loch ness monster is protected under the 1912 scottish animal protection act,i wonder if the immortal jellyfish needs protecting being immortal and all,lolspeaking of water animals did you know that hiccoughs are a left over from evolution when we had gills,maybe that connection is part of why 84 of human disease genes have counterparts in zebrafish too hmm,TPCCHT-000006-4,i do like comic books,have you heard that harley quinn has a new comic book series coming out,i have not heard that i know that comic book legend stan lee used to end every phone conversation with excelsior,ive heard that too did you know that the dc in dc comics stands for detective comics,TPCCHT-000004-13,yeah do you like shakespeare,i love his work did you know he popularized many terms that we use to this day,yes terms like good riddance in my heart of heart and such,yes he lives at the same time as pocahontas did
TPCCHT-000007-6,they are saying space pulls galaxies outside of universe that we could see,yes that is what i was saying albeit i doubt that there is only one electron in the universe like some people say,i dont see anything supporting or denying that theory so we would never know for sure,yeah but only one for all the universe it does not seems logic,TPCCHT-000006-12,i didnt know that i wonder how many people use it by comparison to japan the us comic book market in the us and canada is 109 billion,thats crazy japan is way more into comic books than america it seems,i agree the marvel cinematic universe takes place in earth 199999 a multiverse different from the original comic book multiverse earth616,thats pretty wild marvel published a generic comic book in order to trademark the names superhero and supervillain that was pretty smart of them,TPCCHT-000002-2,[empty line],hey whats up do use google very ofteni really love the company and was surprised to hear that it was founded back in 1998,i think everyone must use it daily its become ingrained in every day life,agreed the google headquarters in mountain view california is nicknamed the google plex
TPCCHT-000001-8,yeah ballet dancer go through 4 pairs of shoes a week,yes that is a lot of shoes and also a lot of money,yeah true did you know babies are really good at dancing,yes and they smile more when they hit the beat,TPCCHT-000006-9,i would love to go there i used to like reading manga too,the manga market is japan is valued at 6 to 7 billion dollars,that is wild did you know that michigan state university library has the largest publicly available comic book collection in the world,i didnt know that i wonder how many people use it by comparison to japan the us comic book market in the us and canada is 109 billion,TPCCHT-000008-11,i remember thinking just about everything in the prequels timeline was off based on the mental version of the past the ot led us to construct but id have to rewatch to nail it down,yeah i would have to watch it as well so are you also a fan of chewbacca i love him i think its funny theres a bat species called the chewbacca bat thats hilarious,i never felt strongly about chewbacca one way or the other tbh but ive got to google a picture of that bat to see what it looks like,i would like to see it as well did you know chewbacca actually had a wife and two boys thats pretty interesting
TPCCHT-000001-3,do you like dance,yes i do did you know bruce lee was a cha cha dancer,yes he even won a hardcore cha cha championship in 1958,yeah did you know tupac was a ballet dancer,TPCCHT-000004-14,i love his work did you know he popularized many terms that we use to this day,yes terms like good riddance in my heart of heart and such,yes he lives at the same time as pocahontas did,i wonder if they had met what he would have written about her,TPCCHT-000004-12,yes he was in the nutcracker as the mouse king,yeah do you like shakespeare,i love his work did you know he popularized many terms that we use to this day,yes terms like good riddance in my heart of heart and such
TPCCHT-000002-5,agreed the google headquarters in mountain view california is nicknamed the google plex,thats funny the current ceo is sundar pichai i didnt know larry page was replaced,oh yeah i didnt know that either i also want to go to google plex to see the goats who mow their lawn by eating it,say what now they have that,TPCCHT-000008-1,[empty line],[empty line],are you a star wars fan i need to rewatch the ot and the prequels so i can watch the subsequent stuff for the first time and understand whats going on,hi yes i am a huge fan of star wars i also loved how it was the first major movie to be dubbed in navajo i think that is so cool,TPCCHT-000005-2,[empty line],hi do you use google much,yes i think it is the most effective search engine how about you do you use gmail,yes a google search takes more computing power than sending astronauts tot he moon
TPCCHT-000003-3,hi do you like to dance,i love to dance a lot how about you,i am really bad but it is a good time,dancing is a lot of fun did you know that bruce lee was a great dancer,TPCCHT-000006-1,[empty line],[empty line],do you like comic books,i do like comic books,TPCCHT-000000-9,did you know google had hundreds of live goats to cut the grass in the past,it is very interesting google provide chrome os which is a light weight os google provided a lot of hardware mainly in 2010 to 2015,i like google chrome do you use it as well for your browser,yesgoogle is the biggest search engine and google service figure out top 100 website including youtube and blogger
TPCCHT-000004-19,yes among those are olivia miranda and jessica,yeah did you know that his works have to stick to the old english language to make sense,yes especially with punk and rhymes they do not work with modern language,yeah did you know tchaikozsky donated his skull in hopes it will be used in shakespeares plays,TPCCHT-000007-12,it makes sense when you put it that way but in terms of that universe size the electron could be very big,maybe they did mean to say that our universe is contained in an electron in another universe,i dont know but i am at the end of knowledge on this subject what do you think about the facts of comics i would have thought us invented them but its japan or uk,japan has a great printing history i am not surprised about this do you read comics books i have read a few but not about superheroes,TPCCHT-000006-6,i have not heard that i know that comic book legend stan lee used to end every phone conversation with excelsior,ive heard that too did you know that the dc in dc comics stands for detective comics,i just read that today the largest comic book market is in japan i believe it my son loves to read those mangas,i would love to go there i used to like reading manga too
TPCCHT-000003-13,he was indeed his music is even in the library of congress,i didnt know this thanks for sharing,sure thing did you hear about michael jacksons special patent shoes,no i know that michael jackson was a fantastic dancer but can you tell me more about his patent shoes if you dont mind,TPCCHT-000003-18,wow that is amazing coming from such a talented singer and dancer i couldnt even dance like that even if i dreamed of it,me neither i could never be a professional dancer,i heard that some professional ballet dancer can go through four pairs of shoes in a week,that is crazy that cant be cheap for them,TPCCHT-000002-9,yeah apparently lol they do that instead of hiring people to mow,thats both funny and i guess imaginative leave it to a huge tech company to employ actual goats,yeah exactly i am sure they are cheaper one thing i bet they couldnt exploit is fish i think fish are so cool there is actually a breed of jellyfish that is immortal,i had rememered hearing about that before immortatlity is wasted on a jellyfish haha did you know a seahorse is the only fish that has an actual neck
TPCCHT-000006-8,i just read that today the largest comic book market is in japan i believe it my son loves to read those mangas,i would love to go there i used to like reading manga too,the manga market is japan is valued at 6 to 7 billion dollars,that is wild did you know that michigan state university library has the largest publicly available comic book collection in the world,TPCCHT-000008-15,i vaguely recall reading something in the star wars fictional universe where a young han solo stayed with chewbacca and his mom in their home,thats so weird isnt it ha are you one of the fans who believes both r2d2 and chewbacca were secret rebel agents i kind of think its an interesting theory,i wish i knew enough about the background to have an opinion but the last star wars i watched was episode iii when it came out on video i really need to rewatch to refresh my memory of it,same here like i also had forgotten that before his companionship with chewbacca hans solo was an imperial lieutenant,TPCCHT-000006-7,ive heard that too did you know that the dc in dc comics stands for detective comics,i just read that today the largest comic book market is in japan i believe it my son loves to read those mangas,i would love to go there i used to like reading manga too,the manga market is japan is valued at 6 to 7 billion dollars
TPCCHT-000004-4,i love it did you know bruce lee was a dancer,yes he even won a cha cha championship in 1958,yeah did you know ballet dancers use a lot of shoes,yes they go through 4 pairs in a single week,TPCCHT-000009-28,hey did you know the first marine predator was the shark they developed in the silurian period,very interesting i wonder how many aquatic species have gone extinct since then,or have evolved into other species the shark has a higher core temperature than other fish because it is an active swimmer,that makes sense i always thought sharks were pretty interesting because they have cartilage instead of bone,TPCCHT-000003-16,no i know that michael jackson was a fantastic dancer but can you tell me more about his patent shoes if you dont mind,there was a specific device in his shoes that helped with his extreme lean in some dance moves,wow that is amazing coming from such a talented singer and dancer i couldnt even dance like that even if i dreamed of it,me neither i could never be a professional dancer
TPCCHT-000002-8,say what now they have that,yeah apparently lol they do that instead of hiring people to mow,thats both funny and i guess imaginative leave it to a huge tech company to employ actual goats,yeah exactly i am sure they are cheaper one thing i bet they couldnt exploit is fish i think fish are so cool there is actually a breed of jellyfish that is immortal,TPCCHT-000001-6,yeah did you know tupac was a ballet dancer,yes and he even was in the production of the nutcracker,yeah ballet dancer go through 4 pairs of shoes a week,yes that is a lot of shoes and also a lot of money,TPCCHT-000007-1,[empty line],[empty line],can you believe there is stars that can be cold enough to be touched the universe is so diverse,its amazing and ever evolving
TPCCHT-000005-5,yes a google search takes more computing power than sending astronauts tot he moon,and before on google moon they used to use cheese for close ups,do you know how google maps calculates traffic,i am not sure how do they do this,TPCCHT-000009-9,i have a pet i am an ailurophile meaning i love cats,cool word did you know there are 20 quintillion animal varieties on earth,that is a lot and in 2002 germany gave them legal rights,yeah and the loch ness monster is protected under the 1912 scottish animal protection act,TPCCHT-000003-15,sure thing did you hear about michael jacksons special patent shoes,no i know that michael jackson was a fantastic dancer but can you tell me more about his patent shoes if you dont mind,there was a specific device in his shoes that helped with his extreme lean in some dance moves,wow that is amazing coming from such a talented singer and dancer i couldnt even dance like that even if i dreamed of it
TPCCHT-000005-16,before google launched gmail that was the name of a free email service offered by garfields website that actually seems more fun,i know now everytime i open gmail i think of garfield,speaking of cats i would love to get a glow in the dark one they have those in south korea,wow in japana and taiwan there are cat cafes where you can play with them,TPCCHT-000008-12,yeah i would have to watch it as well so are you also a fan of chewbacca i love him i think its funny theres a bat species called the chewbacca bat thats hilarious,i never felt strongly about chewbacca one way or the other tbh but ive got to google a picture of that bat to see what it looks like,i would like to see it as well did you know chewbacca actually had a wife and two boys thats pretty interesting,i vaguely recall reading something in the star wars fictional universe where a young han solo stayed with chewbacca and his mom in their home,TPCCHT-000008-8,agreed can you also believe that george lucas wife at the time marcia won an academy award for her editing on star wars and yet george lucas didnt win an academy award for directing that is just downright unbelievable,a lot of people think the ot was so much better than the prequels because of her influence,yeah it was because of her that so many major changes were made like leias good luck kiss obi wans death etc she was truly a big influence,i remember thinking just about everything in the prequels timeline was off based on the mental version of the past the ot led us to construct but id have to rewatch to nail it down
TPCCHT-000004-7,yes they go through 4 pairs in a single week,yeah that is a lot of shoes and also a lot of money,yeah babies are also really good at dancing when they hear music,yes and they smile more when they hit the beat,TPCCHT-000002-20,no but i would love to paying hourly to hang out with adorable cats im in,yeah that would be a lot of fun i didnt realize that cats sleep so much must be nice,i guess thats where the phrase cat nap comes from,oh yeah i guess so ha ha theres even a town in alaska that has a mayor cat,TPCCHT-000006-20,it must be pretty big then i wouldnt want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph,i dont see that being a pleasant place its even 2000 degree weather that sounds like hell to me,hahah thats a good way of putting it,well i have to get to work i hope you have a good day it was nice chatting with you
TPCCHT-000009-27,probably not dog walking is good because it gives companionship and exercise at the same time,hey did you know the first marine predator was the shark they developed in the silurian period,very interesting i wonder how many aquatic species have gone extinct since then,or have evolved into other species the shark has a higher core temperature than other fish because it is an active swimmer,TPCCHT-000005-11,yes for sure they are they have grown so much over the years,but i like that they like to have fun too have you ever typed askew into google,no i have what does the results turn,you should try it it tilts the page another fun thing google does is call new employees nogglers they have to wear propeller beanies or is this mean,TPCCHT-000002-17,yeah and saltwater fish are lucky because they can do that and drink through their mouths,seems like fresh water fish got the short end of the stick with that one have you ever been to a cat cafe,i have never been to a cat cafe no what about you seems like they are popular in japan and taiwan,no but i would love to paying hourly to hang out with adorable cats im in
TPCCHT-000006-14,i agree the marvel cinematic universe takes place in earth 199999 a multiverse different from the original comic book multiverse earth616,thats pretty wild marvel published a generic comic book in order to trademark the names superhero and supervillain that was pretty smart of them,no doubt do you know much about the planets or the universe,i know a little bit ive heard that venus does not tilt,TPCCHT-000009-4,you must have esp i was going to tell you teh same thing i have a sad story to tell there are less tigers living in the wild in asia than as pets in the us,really thats awful to hear,of roosevelts 20 pets two were a bear and hyena,whoa cool i know he seemed to be quite the animal lover,TPCCHT-000005-7,do you know how google maps calculates traffic,i am not sure how do they do this,they track how fast android devices are moving,interesting google really is taking over the world their data center electricity use is 001 percent of all worldwide electricity
TPCCHT-000002-16,thats crazy i wonder why fresh water ones only use osmosis,yeah and saltwater fish are lucky because they can do that and drink through their mouths,seems like fresh water fish got the short end of the stick with that one have you ever been to a cat cafe,i have never been to a cat cafe no what about you seems like they are popular in japan and taiwan,TPCCHT-000008-14,i would like to see it as well did you know chewbacca actually had a wife and two boys thats pretty interesting,i vaguely recall reading something in the star wars fictional universe where a young han solo stayed with chewbacca and his mom in their home,thats so weird isnt it ha are you one of the fans who believes both r2d2 and chewbacca were secret rebel agents i kind of think its an interesting theory,i wish i knew enough about the background to have an opinion but the last star wars i watched was episode iii when it came out on video i really need to rewatch to refresh my memory of it,TPCCHT-000009-22,that would freak me out but i bet it catches that prey using its acoustic communication,could be fish are cool like that i think its neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish,i wonder if reptiles are considered ectothermic like most fish,that would be a good thing to know especially because some of them make good pets
TPCCHT-000000-3,are you a fan of google or microsoft,both are excellent technology they are helpful in many ways for the security purpose both are super,im not a huge fan of google but i use it a lot because i have to i think they are a monopoly in some sense,google provides online related services and products which includes online ads search engine and cloud computing,TPCCHT-000006-17,i know a little bit ive heard that venus does not tilt,that interesting uranus is different to it actually rotates sideways and rolls around the sun rather than spins like the other planets,thats really interesting ive also heard that jupiters moon ganymede would be considered a planet if it orbited the sun,it must be pretty big then i wouldnt want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph,TPCCHT-000009-23,could be fish are cool like that i think its neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish,i wonder if reptiles are considered ectothermic like most fish,that would be a good thing to know especially because some of them make good pets,yep but i dont know if walking a gecko would give the same health benefits as walking a dog
TPCCHT-000000-7,yeah their services are good im just not a fan of intrusive they can be on our personal lives,google is leading the alphabet subsidiary and will continue to be the umbrella company for alphabet internet interest,did you know google had hundreds of live goats to cut the grass in the past,it is very interesting google provide chrome os which is a light weight os google provided a lot of hardware mainly in 2010 to 2015,TPCCHT-000000-6,google provides online related services and products which includes online ads search engine and cloud computing,yeah their services are good im just not a fan of intrusive they can be on our personal lives,google is leading the alphabet subsidiary and will continue to be the umbrella company for alphabet internet interest,did you know google had hundreds of live goats to cut the grass in the past,TPCCHT-000009-17,well they are good at helping people adjust to new situations too,yes like for elderly who are without companions,or people with anxiety and depression or kids with autism,yes a seahorse wouldnt be very good for that purpose did you know seahorses are the only fish with a neck
TPCCHT-000003-22,no i think its very expensive for them to be professional ballet dancers based on this,it has been great chatting but i must go gotta go get my bruce lee on the martial arts part definitely not the dance,ha ha it was so nice chatting with you as well have a nice day bye,bye,TPCCHT-000001-7,yes and he even was in the production of the nutcracker,yeah ballet dancer go through 4 pairs of shoes a week,yes that is a lot of shoes and also a lot of money,yeah true did you know babies are really good at dancing,TPCCHT-000007-10,there is only one sun that warms earth and all other planets so why not just one electron,because an electron is part of matter the water you drink the chair you sit on saying there is only 1 electron in the universe is like saying there is 1 grain of wheat in your bread,it makes sense when you put it that way but in terms of that universe size the electron could be very big,maybe they did mean to say that our universe is contained in an electron in another universe
TPCCHT-000002-19,i have never been to a cat cafe no what about you seems like they are popular in japan and taiwan,no but i would love to paying hourly to hang out with adorable cats im in,yeah that would be a lot of fun i didnt realize that cats sleep so much must be nice,i guess thats where the phrase cat nap comes from,TPCCHT-000009-3,naming a cloned cat copy cat thats cute,you must have esp i was going to tell you teh same thing i have a sad story to tell there are less tigers living in the wild in asia than as pets in the us,really thats awful to hear,of roosevelts 20 pets two were a bear and hyena,TPCCHT-000003-9,i always just thought of him as a martial arts legend now he is a dance legend of sorts too,yeah that is correct he was a fantastic martial artist did you know that tupac danced ballet in high school,yeah he was the mouse king in the nutcracker thats pretty cool i would definitely never have guessed that about him,neither did i that is insane because tupac was a famous rapper
TPCCHT-000005-13,no i have what does the results turn,you should try it it tilts the page another fun thing google does is call new employees nogglers they have to wear propeller beanies or is this mean,oh not sure about that really people say it is a great place to work at though,before google launched gmail that was the name of a free email service offered by garfields website that actually seems more fun,TPCCHT-000008-17,i wish i knew enough about the background to have an opinion but the last star wars i watched was episode iii when it came out on video i really need to rewatch to refresh my memory of it,same here like i also had forgotten that before his companionship with chewbacca hans solo was an imperial lieutenant,yeah i dont remember that at all he definitely doesnt seem like the type,indeed he doesnt but ive always liked chewbacca because he reminded me of a giant dog ha speaking of dogs i think its cool that dogs along with elephants are the only animals that understand pointing,TPCCHT-000000-1,[empty line],[empty line],are you a fan of google or microsoft,both are excellent technology they are helpful in many ways for the security purpose both are super
TPCCHT-000007-14,i dont know but i am at the end of knowledge on this subject what do you think about the facts of comics i would have thought us invented them but its japan or uk,japan has a great printing history i am not surprised about this do you read comics books i have read a few but not about superheroes,i used to in my childhood but not any more i used to love inspector gadget,was inspect gadget a comics on paper or a cartoon on tv i was talking about what marvel is publishing,TPCCHT-000005-9,they track how fast android devices are moving,interesting google really is taking over the world their data center electricity use is 001 percent of all worldwide electricity,yes for sure they are they have grown so much over the years,but i like that they like to have fun too have you ever typed askew into google,TPCCHT-000004-18,yeah good point he also invented some womens names,yes among those are olivia miranda and jessica,yeah did you know that his works have to stick to the old english language to make sense,yes especially with punk and rhymes they do not work with modern language
TPCCHT-000000-8,google is leading the alphabet subsidiary and will continue to be the umbrella company for alphabet internet interest,did you know google had hundreds of live goats to cut the grass in the past,it is very interesting google provide chrome os which is a light weight os google provided a lot of hardware mainly in 2010 to 2015,i like google chrome do you use it as well for your browser,TPCCHT-000006-3,do you like comic books,i do like comic books,have you heard that harley quinn has a new comic book series coming out,i have not heard that i know that comic book legend stan lee used to end every phone conversation with excelsior,TPCCHT-000001-5,yes he even won a hardcore cha cha championship in 1958,yeah did you know tupac was a ballet dancer,yes and he even was in the production of the nutcracker,yeah ballet dancer go through 4 pairs of shoes a week
TPCCHT-000002-14,i guess they live up to their name then,it seems they do i also didnt know that there was a difference with how freshwater and saltwater fish drink,thats crazy i wonder why fresh water ones only use osmosis,yeah and saltwater fish are lucky because they can do that and drink through their mouths,TPCCHT-000009-20,yes a seahorse wouldnt be very good for that purpose did you know seahorses are the only fish with a neck,i dont think a black swallower fish would be good as a companion pet either because it can eat prey twice its length,that would freak me out but i bet it catches that prey using its acoustic communication,could be fish are cool like that i think its neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish,TPCCHT-000004-16,yes he lives at the same time as pocahontas did,i wonder if they had met what he would have written about her,yeah good point he also invented some womens names,yes among those are olivia miranda and jessica
TPCCHT-000008-5,yeah thats wild i guess it takes a pretty small audience to pay for the translation work,agreed isnt it also funny james earl jones only spent two and half hours recording his lines for darth vader i also cant believe he was only paid 7500 geez thats pocket change,7500 is amazingly low i guess since darth vader was masked jones could just record everything at once in the studio,agreed can you also believe that george lucas wife at the time marcia won an academy award for her editing on star wars and yet george lucas didnt win an academy award for directing that is just downright unbelievable,TPCCHT-000005-19,wow in japana and taiwan there are cat cafes where you can play with them,that seems fun that reminds me of the anderson house bed and breakfast in minnesota they used to offer a free cat for the night when you booked a room,wow there is a town in alaska where the mayor of the town is a cat,that is cool cats are a pretty smart species there has not been a cat species extinction in 10000 years,TPCCHT-000005-14,you should try it it tilts the page another fun thing google does is call new employees nogglers they have to wear propeller beanies or is this mean,oh not sure about that really people say it is a great place to work at though,before google launched gmail that was the name of a free email service offered by garfields website that actually seems more fun,i know now everytime i open gmail i think of garfield
TPCCHT-000009-13,i wonder if the immortal jellyfish needs protecting being immortal and all,lolspeaking of water animals did you know that hiccoughs are a left over from evolution when we had gills,maybe that connection is part of why 84 of human disease genes have counterparts in zebrafish too hmm,hmm good theory seeing that the most popular pets are cats and dogs it is no surprise that they are commonly used for therapy in hospitals,TPCCHT-000006-5,have you heard that harley quinn has a new comic book series coming out,i have not heard that i know that comic book legend stan lee used to end every phone conversation with excelsior,ive heard that too did you know that the dc in dc comics stands for detective comics,i just read that today the largest comic book market is in japan i believe it my son loves to read those mangas,TPCCHT-000001-11,yes and they smile more when they hit the beat,yeah they are much smarter than we give them credit for,true did you know jackson had a patent on a dancing device,yes it helped him smooth out his dance moves
TPCCHT-000003-6,dancing is a lot of fun did you know that bruce lee was a great dancer,i heard that winning cha cha championships and everything,yes that is amazing he won the hong kong chacha championship back in 1958 in fact,i always just thought of him as a martial arts legend now he is a dance legend of sorts too,TPCCHT-000000-17,interesting they also have gills did you know that jellyfish are immortal,yes fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries,what about cats do you like cats im a dog fan myself,the cat is referred as domestic cat and wild cat they make our world very clean from rats,TPCCHT-000009-14,lolspeaking of water animals did you know that hiccoughs are a left over from evolution when we had gills,maybe that connection is part of why 84 of human disease genes have counterparts in zebrafish too hmm,hmm good theory seeing that the most popular pets are cats and dogs it is no surprise that they are commonly used for therapy in hospitals,well they are good at helping people adjust to new situations too
TPCCHT-000009-24,i wonder if reptiles are considered ectothermic like most fish,that would be a good thing to know especially because some of them make good pets,yep but i dont know if walking a gecko would give the same health benefits as walking a dog,probably not dog walking is good because it gives companionship and exercise at the same time,TPCCHT-000007-4,its amazing and ever evolving,yeah and there is even places that exist but we never will be able to see because they are too far away,they are saying space pulls galaxies outside of universe that we could see,yes that is what i was saying albeit i doubt that there is only one electron in the universe like some people say,TPCCHT-000001-15,nice do you like shakespeare,yes i do do you know that he popularized many phrases,yes like good riddance in my heart of hearts and such,yes and then he also invented names like jessica olivia and miranda
